Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2015,13682-2015,"3,714,204","471,960","447,532","124,085","4,977,031",0.75,0.09,0.09,0.02,"159,789","159,789",,"3,644","62,463","138,672","18,220","36,891","574,075","153,859","380,611",,"534,470","14,000","14,000"
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2016,13682-2016,"3,861,251","730,600","429,726","305,461","5,246,078",0.74,0.14,0.08,0.06,"173,438","173,438",,"24,912","73,993","138,322","8,751","29,441","485,569","146,327","178,067","13,532","485,435","13,280","13,280"
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2012,13683-2012,"12,670,386","1,970,957","1,790,115","1,055,378","17,529,212",0.72,0.11,0.10,0.06,"469,879","469,879","72,748","498,595","391,180","426,576","40,660","3,437,140","4,866,899","904,114","1,315,581","722,922","2,942,617",,
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2013,13683-2013,"12,359,822","1,983,189","1,901,624","1,456,772","17,904,498",0.69,0.11,0.11,0.08,"553,175","553,175","55,752","514,244","361,994","435,322","39,477","150,312","1,557,101","962,618","1,140,719","794,270","2,897,607",,
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2014,13683-2014,"12,478,929","2,138,990","1,831,894","1,971,740","18,318,853",0.68,0.12,0.10,0.11,"570,883","570,883","74,366","334,116","465,016","389,997","42,664","25,434","1,674,617","960,989","1,130,568","813,776","2,905,333","54,966","54,966"
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2015,13683-2015,"12,693,986","2,066,538","1,605,791","2,207,765","18,593,268",0.68,0.11,0.09,0.12,"592,622","592,622","70,755","269,262","408,459","395,277","39,493","32,369","1,496,401","798,018","1,070,418","770,458","2,638,894","28,509","28,509"
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2016,13683-2016,"13,003,823","2,106,153","1,549,072","1,804,498","18,683,199",0.70,0.11,0.08,0.10,"566,847","566,847","80,376","243,915","313,722","359,072","36,902","22,589","1,437,740","765,926","1,099,898","837,846","2,703,670","34,729","34,729"
13839,PO,BO1,BC Master Frankeskoalle,2012,13839-2012,"237,090","20,843","30,061",,"358,158",0.66,0.06,0.08,0.00,"13,797","13,797",,"26,294","5,948","12,016",741,"3,402","48,401","25,893","28,576","3,347","57,816",,
13839,PO,BO1,BC Master Frankeskoalle,2013,13839-2013,"212,718","48,354","32,140",,"363,583",0.59,0.13,0.09,0.00,"13,834","13,834",,"13,425","5,913","14,796",561,"1,721","36,416","25,591","25,826","1,972","53,389",,
13839,PO,BO1,BC Master Frankeskoalle,2014,13839-2014,"221,080","56,998","32,740",,"359,244",0.62,0.16,0.09,0.00,"13,116","13,116",,"8,659","5,792","14,796",769,"1,752","31,768","20,141","24,906","7,392","52,439",,
13839,PO,BO1,BC Master Frankeskoalle,2015,13839-2015,"245,243","54,345","30,320",,"321,517",0.76,0.17,0.09,0.00,"12,481","12,481",,"4,354","5,872","18,164",815,"1,776","53,271","29,416","20,974","3,272","62,426",,
13839,PO,BO1,BC Master Frankeskoalle,2016,13839-2016,"219,598","48,436","24,210",,"272,768",0.81,0.18,0.09,0.00,"12,302","12,302",,"4,344","5,053","17,957","2,609","1,808","31,771","21,212",639,"2,533","55,731",,
13878,PO,BO2,BC Openb BO Ameland,2012,13878-2012,"538,807","61,343","104,349",,"735,379",0.73,0.08,0.14,0.00,"26,335","26,335",,219,"12,968","10,490","2,762","5,702","32,141","33,429","48,610","162,738","256,777","2,300","2,300"
13878,PO,BO2,BC Openb BO Ameland,2013,13878-2013,"510,431","79,763","118,307",,"679,877",0.75,0.12,0.17,0.00,"26,377","26,377",,223,"17,960","11,061","2,392","5,639","37,275","32,829","40,122",,"84,951","2,300","2,300"
13878,PO,BO2,BC Openb BO Ameland,2014,13878-2014,"476,704","103,335","97,199",,"666,124",0.72,0.16,0.15,0.00,"22,007","22,007",,227,"19,909","10,066",547,"7,577","38,326","31,943","40,547",,"84,490","2,783","2,783"
13878,PO,BO2,BC Openb BO Ameland,2015,13878-2015,"408,571","137,656","132,682",,"673,849",0.61,0.20,0.20,0.00,"40,236","40,236",,226,"13,744","2,691","2,016","8,889","27,566","29,311","49,082",,"97,858","2,783","2,783"
13878,PO,BO2,BC Openb BO Ameland,2016,13878-2016,"512,040","34,350","44,428",,"630,973",0.81,0.05,0.07,0.00,"34,726","34,726",,226,"14,634","2,683","1,141","5,495","24,179","30,381","70,937",,"120,783","2,783","2,783"
20012,PO,BO2,Vereniging voor P.C.B.O.,2012,20012-2012,"752,162","159,186","95,677",,"986,206",0.76,0.16,0.10,0.00,"33,344","33,344",,"6,266","14,769","3,034","3,464","1,256","54,789","31,926","47,023","47,488","126,437","4,218","4,218"
20012,PO,BO2,Vereniging voor P.C.B.O.,2013,20012-2013,"830,454","169,997","118,807",,"1,070,842",0.78,0.16,0.11,0.00,"34,898","34,898",,"12,231","16,791","2,228","3,183","1,723","60,156","51,050","63,836","44,723","159,609","3,267","3,267"
